,Season,Maple Leafs season,Conference,Division,Regular season[8],Regular season[8],Regular season[8],Regular season[8],Regular season[8],Regular season[8],Regular season[8],Regular season[8],Regular season[8],Postseason[9],Postseason[9],Postseason[9],Postseason[9],Postseason[9],Postseason[9],Postseason[9]
,Season,Maple Leafs season,Conference,Division,Finish,GP,W,L,T[10],OT[11],Pts,GF,GA,GP,W,L,T,GF,GA,Result
0,Toronto Arenas,Toronto Arenas,Toronto Arenas,Toronto Arenas,Toronto Arenas,Toronto Arenas,Toronto Arenas,Toronto Arenas,Toronto Arenas,Toronto Arenas,Toronto Arenas,Toronto Arenas,Toronto Arenas,Toronto Arenas,Toronto Arenas,Toronto Arenas,Toronto Arenas,Toronto Arenas,Toronto Arenas,Toronto Arenas
1,1917–18[a],1917–18[b],—,—[c],2nd§[d],14,8,6,—,—,16,71,75,7,4,3,0,28,28,"Won in NHL Finals, 10–7 (TG) (Canadiens)[14]Won in Stanley Cup Finals, 3–2 (Millionaires)[15]"
2,1917–18[a],1917–18[b],—,—[c],1st§,8,5,3,—,—,10#,37,34,7,4,3,0,28,28,"Won in NHL Finals, 10–7 (TG) (Canadiens)[14]Won in Stanley Cup Finals, 3–2 (Millionaires)[15]"
3,1918–19,1918–19[e],—,—,3rd,10,3,7,—,—,6,43,49,—,—,—,—,—,—,Did not qualify
4,1918–19,1918–19[e],—,—,3rd,8,2,6,—,—,4,22,43,—,—,—,—,—,—,Did not qualify
5,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks,Toronto St. Patricks
6,1919–20,1919–20[f],—,—,3rd,12,5,7,—,—,10,52,62,—,—,—,—,—,—,Did not qualify
7,1919–20,1919–20[f],—,—,2nd,12,7,5,—,—,14,67,44,—,—,—,—,—,—,Did not qualify
8,1920–21,1920–21,—,—,2nd,10,5,5,—,—,10,39,47,2,0,2,0,0,7,"Lost in NHL Finals, 0–7 (TG) (Senators)[17]"
9,1920–21,1920–21,—,—,1st,14,10,4,—,—,20#,66,53,2,0,2,0,0,7,"Lost in NHL Finals, 0–7 (TG) (Senators)[17]"
10,1921–22,1921–22,—,—,2nd§,24,13,10,1[g],—,27,98,97,7,4,2,1,21,13,"Won in NHL Finals, 5–4 (TG) (Senators)[19]Won in Stanley Cup Finals, 3–2 (Millionaires)[20]"
11,1922–23,1922–23,—,—,3rd,24,13,10,1,—,27,82,88,—,—,—,—,—,—,Did not qualify
12,1923–24,1923–24,—,—,3rd,24,10,14,0,—,20,59,85,—,—,—,—,—,—,Did not qualify
13,1924–25,1924–25,—,—,2nd,30,19,11,0,—,38,90,84,2,0,2,0,2,5,"Lost in NHL Semifinals, 2–5 (TG) (Canadiens)[21]"
14,1925–26,1925–26,—,—,6th,36,12,21,3,—,27,92,114,—,—,—,—,—,—,Did not qualify
15,1926–27,1926–27,—,Canadian[h],5th,44,15,24,5,—,35,79,94,—,—,—,—,—,—,Did not qualify
16,Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i],Toronto Maple Leafs[i]
17,1927–28,1927–28,—,Canadian,4th,44,18,18,8,—,44,89,88,—,—,—,—,—,—,Did not qualify
18,1928–29,1928–29,—,Canadian,3rd,44,21,18,5,—,47,85,69,4,2,2,0,8,5,"Won in Quarterfinals, 7–2 (TG) (Cougars)Lost in Semifinals, 0–2 (Rangers)[22]"
19,1929–30,1929–30,—,Canadian,4th,44,17,21,6,—,40,116,124,—,—,—,—,—,—,Did not qualify
20,1930–31,1930–31,—,Canadian,2nd,44,22,13,9,—,53,118,99,2,0,1,1,3,4,"Lost in Quarterfinals, 3–4 (TG) (Black Hawks)[23]"
21,1931–32,1931–32,—,Canadian,2nd,48,23,18,7,—,53,155,127,7,5,1,1,28,15,"Won in Quarterfinals, 6–2 (TG) (Black Hawks)Won in Semifinals, 4–3 (TG) (Maroons)Won in Stanley Cup Finals, 3–0 (Rangers)[24]"
22,1932–33,1932–33,—,Canadian,1st§[j],48,24,18,6,—,54,119,111,9,4,5,0,14,18,"Won in Semifinals, 3–2 (Bruins)Lost in Stanley Cup Finals, 1–3 (Rangers)[25]"
23,1933–34,1933–34,—,Canadian,1st§,48,26,13,9,—,61#,174,119,5,2,3,0,12,11,"Lost in Semifinals, 2–3 (Red Wings)[26]"
24,1934–35,1934–35,—,Canadian,1st§,48,30,14,4,—,64#,157,111,7,3,4,0,11,12,"Won in Semifinals, 3–1 (Bruins)Lost in Stanley Cup Finals, 0–3 (Maroons)[27]"
25,1935–36,1935–36,—,Canadian,2nd,48,23,19,6,—,52,126,106,9,4,5,0,25,27,"Won in Quarterfinals, 8–6 (TG) (Bruins)Won in Semifinals, 2–1 (Americans)Lost in Stanley Cup Finals, 1–3 (Red Wings)[28]"
26,1936–37,1936–37,—,Canadian,3rd,48,22,21,5,—,49,119,115,2,0,2,0,1,5,"Lost in Quarterfinals, 0–2 (Rangers)[29]"
27,1937–38,1937–38,—,Canadian,1st§,48,24,15,9,—,57,151,127,7,4,3,0,14,13,"Won in Semifinals, 3–0 (Bruins)Lost in Stanley Cup Finals, 1–3 (Black Hawks)[30]"
28,1938–39,1938–39,—,—[k],3rd§[l],48,19,20,9,—,47,114,107,10,5,5,0,22,20,"Won in Quarterfinals, 2–0 (Americans)Won in Semifinals, 2–1 (Red Wings)Lost in Stanley Cup Finals, 1–4 (Bruins)[31]"
29,1939–40,1939–40,—,—,3rd§,48,25,17,6,—,56,134,110,10,6,4,0,21,19,"Won in Quarterfinals, 2–0 (Black Hawks)Won in Semifinals, 2–0 (Red Wings)Lost in Stanley Cup Finals, 2–4 (Rangers)[32]"
30,1940–41,1940–41,—,—,2nd,48,28,14,6,—,62,145,99,7,3,4,0,17,15,"Lost in Semifinals, 3–4 (Bruins)[33]"
31,1941–42,1941–42,—,—,2nd,48,27,18,3,—,57,158,136,13,8,5,0,38,31,"Won in Semifinals, 4–2 (Rangers)Won in Stanley Cup Finals, 4–3 (Red Wings)[34]"
32,1942–43,1942–43,—,—,3rd,50,22,19,9,—,53,198,159,6,2,4,0,17,20,"Lost in Semifinals, 2–4 (Red Wings)[35]"
33,1943–44,1943–44,—,—,3rd,50,23,23,4,—,50,214,174,5,1,4,0,6,23,"Lost in Semifinals, 1–4 (Canadiens)[36]"
34,1944–45,1944–45,—,—,3rd,50,24,22,4,—,52,183,161,13,8,5,0,24,30,"Won in Semifinals, 4–2 (Canadiens)Won in Stanley Cup Finals, 4–3 (Red Wings)[37]"
35,1945–46,1945–46,—,—,5th,50,19,24,7,—,45,174,185,—,—,—,—,—,—,Did not qualify
36,1946–47,1946–47,—,—,2nd,60,31,19,10,—,72,209,172,11,8,3,0,31,27,"Won in Semifinals, 4–1 (Red Wings)Won in Stanley Cup Finals, 4–2 (Canadiens)[38]"
37,1947–48,1947–48,—,—,1st,60,32,15,13,—,77#,182,143,9,8,1,0,38,20,"Won in Semifinals, 4–1 (Bruins)Won in Stanley Cup Finals, 4–0 (Red Wings)[39]"
38,1948–49,1948–49,—,—,4th,60,22,25,13,—,57,147,161,9,8,1,0,28,15,"Won in Semifinals, 4–1 (Bruins)Won in Stanley Cup Finals, 4–0 (Red Wings)[40]"
39,1949–50,1949–50,—,—,3rd,70,31,27,12,—,74,176,173,7,3,4,0,11,10,"Lost in Semifinals, 3–4 (Red Wings)[41]"
40,1950–51,1950–51,—,—,2nd,70,41,16,13,—,95,212,138,11,8,2,1,30,15,"Won in Semifinals, 4–1–1 (Bruins)[m][42][43]Won in Stanley Cup Finals, 4–1 (Canadiens)[45]"
41,1951–52,1951–52,—,—,3rd,70,29,25,16,—,74,168,157,4,0,4,—,3,13,"Lost in Semifinals, 0–4 (Red Wings)[46]"
42,1952–53,1952–53,—,—,5th,70,27,30,13,—,67,156,167,—,—,—,—,—,—,Did not qualify
43,1953–54,1953–54,—,—,3rd,70,32,24,14,—,78,152,131,5,1,4,—,8,15,"Lost in Semifinals, 1–4 (Red Wings)[47]"
44,1954–55,1954–55,—,—,3rd,70,24,24,22,—,70,147,135,4,0,4,—,6,14,"Lost in Semifinals, 0–4 (Red Wings)[48]"
